,Country,Rank,Score,Year,Life Expectancy,Trust in the gov,Economy strength,Generosity,Perceived freedom,Family,ISO
162,Finland,5,7.413,2016,80.74352697095436,0.8116228894914985,0.7707082833133253,0.31098803235290523,0.9384696292400736,0.9589101296418371,FIN
163,Canada,6,7.404,2016,81.78232365145229,0.6201183666198214,0.7894390632965514,0.546949530931671,0.9428411780173547,0.9263390970708044,CAN
164,Netherlands,7,7.339,2016,80.83066390041493,0.5923675303339204,0.8028855377767545,0.5784484756804236,0.9073593215882197,0.8697327721717966,NLD
165,New Zealand,8,7.334,2016,81.99145228215768,0.8294372637121197,0.7458654694754614,0.6026643569067108,0.9556107020773075,0.9911431130943326,NZL
166,Australia,9,7.313,2016,83.25120331950207,0.6399517032521129,0.7917852072335784,0.5783386807529491,0.934081646068893,0.9336578604871287,AUS
167,Sweden,10,7.291,2016,82.00701244813278,0.8089111458601372,0.7958306610315359,0.4666772395115345,0.9567775440441757,0.9191893582137485,SWE
168,Israel,11,7.267,2016,83.12485477178423,0.17275984244175688,0.7332576866362984,0.39389540203242607,0.5987378385485143,0.8412098777952437,ISR
169,Austria,12,7.119,2016,80.41614107883817,0.42255695651313313,0.7950467858376227,0.40093447682717054,0.8932914804102025,0.9159694403596843,AUT
170,United States,13,7.104,2016,78.75742738589211,0.294293462124661,0.8266100960932318,0.5011162484293226,0.7915297133841703,0.8855365684633977,USA
171,Costa Rica,14,7.087,2016,77.66572614107884,0.20876467211654556,0.585872705246482,0.27513388881433676,0.9075894031028136,0.863309838919595,CRI
172,Puerto Rico,15,7.039,2016,78.66904564315352,0.24296827062013812,0.7451912271758018,0.2708518866428371,0.7695076255587693,0.91368760880956,PRI
173,Germany,16,6.994,2016,80.99,0.5651313315255042,0.7936708930147401,0.37149723682765856,0.8786813042334999,0.9277250984568057,DEU
174,Brazil,17,6.952,2016,68.49705394190872,0.28039825023257653,0.5961507890827563,0.19245830842615072,0.6643603733894293,0.8784037320622686,BRA
175,Belgium,18,6.929,2016,81.28377593360996,0.5195463272698481,0.7813481557006363,0.2957143379975845,0.8439718643176439,0.8894832919223162,BEL
